bit,prime,name,layer,checkpoint,r,i,j,k,norm
34,149,placer,5,v9,0.1454,0.0000,0.6667,0.0000,0.6823
35,151,dolor,5,v9,0.1476,0.0000,0.6667,0.0000,0.6828
36,157,consciente,5,v9,0.1679,0.0000,0.6667,0.5000,0.8501
37,163,ausente,5,v9,0.0124,0.0000,0.7778,0.5000,0.9247
40,179,individual,5,v9,0.0069,0.0000,0.6667,0.0000,0.6667
41,181,colectivo,5,v9,0.0052,0.0000,0.7778,0.0000,0.7778
49,229,querer,5,v9,0.1919,0.7474,0.7778,1.0000,1.4834
51,239,saber,5,v9,0.0427,0.6176,0.7778,1.0000,1.4100
52,241,pensar,5,v9,0.0816,0.7481,0.7778,1.0000,1.4735
53,251,decir,5,v9,0.0482,0.6041,0.7778,1.0000,1.4043
38,167,temporal_obs,6,v9,0.0008,0.0000,0.7778,0.5000,0.9246
39,173,eterno_obs,6,v9,0.0050,0.0000,0.7778,0.5000,0.9246
42,191,receptivo,6,v9,0.0003,0.0000,0.8889,0.5000,1.0199
43,193,creador_obs,6,v9,0.0006,0.0000,1.0000,1.0000,1.4142
66,331,atracción,3,v9,0.2078,0.0000,0.2222,0.0000,0.3042
65,317,decaimiento,4,v9,0.0033,0.4799,0.5556,0.0000,0.7342
67,337,aversión,4,v9,0.1613,0.0000,0.5556,0.0000,0.5785
68,347,cooperación,4,v9,0.0006,0.4434,0.4444,0.0000,0.6278
69,349,pérdida,4,v9,0.0364,0.7712,0.5556,0.0000,0.9511
70,353,atención,5,v9,0.0042,0.5248,0.7778,0.5000,1.0632
71,359,intención,5,v9,0.0022,0.4570,0.8889,1.0000,1.4138
63,311,proporción,3,v9,0.1062,0.5914,0.5556,0.0000,0.8184
64,313,quietud,3,v9,0.0005,0.6477,0.2222,0.0000,0.6848
