step,lang_loss,tri_loss,dist_loss,lr,elapsed_s
170,6.025209,0.000000,0.000000,0.00003400,254.9
171,5.806521,0.000000,0.000000,0.00003420,255.2
172,5.894928,0.000000,0.000000,0.00003440,255.6
173,5.665455,0.000000,0.000000,0.00003460,255.9
174,5.889766,0.000000,0.000000,0.00003480,256.2
175,5.979833,0.000000,0.000000,0.00003500,256.6
176,5.960758,0.000000,0.000000,0.00003520,256.9
177,5.829223,0.000000,0.000000,0.00003540,257.3
178,5.871894,0.000000,0.000000,0.00003560,257.6
179,5.903677,0.000000,0.000000,0.00003580,257.9
180,5.835559,0.000000,0.000000,0.00003600,258.3
181,5.857848,0.000000,0.000000,0.00003620,258.6
182,6.032999,0.000000,0.000000,0.00003640,259.0
183,5.757561,0.000000,0.000000,0.00003660,259.3
184,5.983799,0.000000,0.000000,0.00003680,259.6
185,6.080795,0.000000,0.000000,0.00003700,260.0
186,5.723668,0.000000,0.000000,0.00003720,260.3
187,5.783173,0.000000,0.000000,0.00003740,260.7
188,5.702409,0.000000,0.000000,0.00003760,261.0
189,5.837682,0.000000,0.000000,0.00003780,261.3
190,5.706821,0.000000,0.000000,0.00003800,261.7
191,5.784829,0.000000,0.000000,0.00003820,262.0
192,5.697242,0.000000,0.000000,0.00003840,262.3
193,5.855127,0.000000,0.000000,0.00003860,262.7
194,6.053602,0.000000,0.000000,0.00003880,263.0
195,5.953995,0.000000,0.000000,0.00003900,263.4
196,6.075987,0.000000,0.000000,0.00003920,263.7
197,5.771357,0.000000,0.000000,0.00003940,264.0
198,6.062011,0.000000,0.000000,0.00003960,264.4
199,5.538690,0.000000,0.000000,0.00003980,264.7
200,5.834546,0.000000,0.000000,0.00004000,265.1
201,5.833879,0.000000,0.000000,0.00004020,265.4
202,5.828694,0.000000,0.000000,0.00004040,265.7
203,5.636144,0.000000,0.000000,0.00004060,266.1
204,5.625996,0.000000,0.000000,0.00004080,266.4
205,5.738041,0.000000,0.000000,0.00004100,266.8
206,5.695641,0.000000,0.000000,0.00004120,267.1
